"Nazwa";"Zadruk";"Laminowanie";"Mechanizm";"Wielobig";"Kółko grzbietowe";"Kieszonki (wklejane)";"Nakład";"Product quantity limit";"Koszt";"Dodatkowe dni"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"1";"9";"434.34";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"10";"19";"112.53";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"20";"49";"71.76";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"50";"74";"50.31";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"75";"99";"43.87";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"100";"149";"39.58";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"150";"199";"37.44";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"200";"249";"36.37";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"250";"299";"35.29";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"300";"399";"33.15";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"400";"499";"29.93";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"500";"599";"27.78";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"600";"699";"26.28";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"700";"799";"25.85";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"800";"899";"25.42";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"900";"999";"24.99";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ficka för visitkort";"1000";"9999";"24.57";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"1";"9";"433.49";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"10";"19";"111.67";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"20";"49";"70.91";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"50";"74";"49.45";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"75";"99";"43.02";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"100";"149";"38.73";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"150";"199";"36.58";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"200";"249";"35.51";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"250";"299";"34.43";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"300";"399";"32.29";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"400";"499";"29.07";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"500";"599";"26.93";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"600";"699";"25.42";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"700";"799";"24.99";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"800";"899";"24.57";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"900";"999";"24.14";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Icke";"1000";"9999";"23.71";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"1";"9";"434.34";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"10";"19";"112.53";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Ja";"Nej";"Ryggficka";"20";"49";"71.76";"0"
