Nazwa;Zadruk;Laminowanie;Mechanizm;Wielobig;Kółko grzbietowe;Kieszonki (wklejane);Nakład;Product quantity limit;Koszt;Dodatkowe dni
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Ficka för visitkort;1;9;202.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Ficka för visitkort;10;19;52.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Ficka för visitkort;20;49;33.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Ficka för visitkort;50;74;23.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Icke;1;9;202.4;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Icke;10;19;52.4;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Icke;20;49;33.4;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Icke;50;74;23.4;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Ryggficka;1;9;202.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Ryggficka;10;19;52.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Ryggficka;20;49;33.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Ryggficka;50;74;23.8;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Trekantig ficka;1;9;202.9;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Trekantig ficka;10;19;52.9;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Trekantig ficka;20;49;33.9;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Ja;Trekantig ficka;50;74;23.9;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Ficka för visitkort;1;9;202.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Ficka för visitkort;10;19;52.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Ficka för visitkort;20;49;33.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Ficka för visitkort;50;74;23.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Icke;1;9;202.05;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Icke;10;19;52.05;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Icke;20;49;33.05;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Icke;50;74;23.05;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Ryggficka;1;9;202.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Ryggficka;10;19;52.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Ryggficka;20;49;33.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Ryggficka;50;74;23.45;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Trekantig ficka;1;9;202.55;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Trekantig ficka;10;19;52.55;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Trekantig ficka;20;49;33.55;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Ja;Nej;Trekantig ficka;50;74;23.55;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Ja;Ficka för visitkort;1;9;202.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Ja;Ficka för visitkort;10;19;52.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Ja;Ficka för visitkort;20;49;33.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Ja;Ficka för visitkort;50;74;23.6;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Ja;Icke;1;9;202.2;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Ja;Icke;10;19;52.2;0
Reklampärmar;CMYK tryck 4/0;Folie med linstruktur;STR16;Nej;Ja;Icke;20;49;33.2;0
